Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
outputs | fastq | CM_118_R2	92.20806975551376	54.0	297.0	297	54.54545454545454	93584.0
outputs | fastq | CM_119_R1	97.36550164252249	54.0	300.0	300	36.36363636363637	92845.0
outputs | fastq | CM_119_R2	93.66471000053853	54.0	300.0	300	54.54545454545454	92845.0
outputs | fastq | CM_11_R2	89.54452326963319	53.0	299.0	299	36.36363636363637	137153.0
outputs | fastq | CM_120_R2	93.02342572720215	56.0	297.0	297	45.45454545454545	109495.0
outputs | fastq | CM_121_R1	96.0099313868914	54.0	300.0	300	36.36363636363637	97066.0
outputs | fastq | CM_122_R1	96.49406688241639	56.0	296.0	296	36.36363636363637	131634.0
outputs | fastq | CM_122_R2	92.13728975796526	55.0	296.0	296	54.54545454545454	131634.0
outputs | fastq | CM_126_R2	91.58855395958369	56.0	293.0	293	54.54545454545454	88974.0
outputs | fastq | CM_130_R1	96.04788163525829	55.0	293.0	293	36.36363636363637	95569.0
outputs | fastq | CM_130_R2	91.6458265755632	54.0	295.0	295	54.54545454545454	95569.0
outputs | fastq | CM_132_R1	95.98957407736509	54.0	300.0	300	36.36363636363637	118167.0
outputs | fastq | CM_133_R1	96.1272115488983	54.0	299.0	299	36.36363636363637	92130.0
outputs | fastq | CM_13_R1	97.47618927317282	51.0	300.0	300	36.36363636363637	79166.0
outputs | fastq | CM_141_R1	97.91235457854543	56.0	300.0	300	36.36363636363637	112088.0
outputs | fastq | CM_141_R2	93.69780886446364	56.0	297.0	297	54.54545454545454	112088.0
outputs | fastq | CM_149_R1	97.24127587241276	56.0	300.0	300	36.36363636363637	100010.0
outputs | fastq | CM_14_R1	96.47621319655673	52.0	296.0	296	36.36363636363637	100602.0
outputs | fastq | CM_14_R2	92.83712053438302	52.0	298.0	298	45.45454545454545	100602.0
outputs | fastq | CM_152_R1	96.2374627270263	54.0	293.0	293	36.36363636363637	92225.0
outputs | fastq | CM_153_R1	97.99107142857143	57.0	296.0	296	36.36363636363637	104384.0
outputs | fastq | CM_153_R2	93.8400521152667	56.0	294.0	294	45.45454545454545	104384.0
outputs | fastq | CM_154_R1	98.10443094591025	56.0	299.0	299	36.36363636363637	117379.0
outputs | fastq | CM_154_R2	93.49628127688939	55.0	298.0	298	54.54545454545454	117379.0
outputs | fastq | CM_155_R1	97.86276986956136	56.0	293.0	293	36.36363636363637	124273.0
outputs | fastq | CM_156_R1	96.84097338942885	56.0	298.0	298	36.36363636363637	95789.0
outputs | fastq | CM_158_R1	97.32457219909463	56.0	300.0	300	36.36363636363637	93443.0
outputs | fastq | CM_158_R2	93.40667572744881	55.0	299.0	299	45.45454545454545	93443.0
outputs | fastq | CM_15_R1	96.72900939145758	51.0	298.0	298	36.36363636363637	99878.0
outputs | fastq | CM_15_R2	93.39293938605098	52.0	296.0	296	54.54545454545454	99878.0
outputs | fastq | CM_162_R1	96.74922266367248	57.0	300.0	300	36.36363636363637	92624.0
outputs | fastq | CM_163_R2	92.23305620474311	56.0	294.0	294	54.54545454545454	104404.0
outputs | fastq | CM_164_R1	97.56848069948302	56.0	298.0	298	36.36363636363637	112769.0
outputs | fastq | CM_164_R2	93.1284306857381	56.0	298.0	298	45.45454545454545	112769.0
outputs | fastq | CM_166_R1	96.34074574309005	55.0	297.0	297	36.36363636363637	103655.0
outputs | fastq | CM_167_R2	92.72736319233097	56.0	294.0	294	54.54545454545454	120589.0
outputs | fastq | CM_168_R1	95.67073543496424	55.0	300.0	300	36.36363636363637	98146.0
outputs | fastq | CM_170_R2	92.40618997798217	55.0	295.0	295	54.54545454545454	128078.0
outputs | fastq | CM_171_R2	93.47464601844231	56.0	298.0	298	54.54545454545454	119074.0
outputs | fastq | CM_172_R2	92.36827888196991	56.0	294.0	294	54.54545454545454	105507.0
outputs | fastq | CM_173_R1	97.25420884437541	56.0	297.0	297	36.36363636363637	112026.0
outputs | fastq | CM_175_R2	94.16302105973863	56.0	295.0	295	54.54545454545454	108121.0
outputs | fastq | CM_176_R1	97.0146549641678	56.0	294.0	294	36.36363636363637	99352.0
outputs | fastq | CM_178_R1	96.73713936803541	56.0	300.0	300	36.36363636363637	78612.0
outputs | fastq | CM_179_R1	96.7959345491242	57.0	298.0	298	36.36363636363637	83238.0
outputs | fastq | CM_180_R1	97.48788335437625	56.0	298.0	298	36.36363636363637	122765.0
outputs | fastq | CM_182_R1	96.89215189873418	57.0	294.0	294	36.36363636363637	98750.0
outputs | fastq | CM_182_R2	92.41721518987342	56.0	300.0	300	54.54545454545454	98750.0
outputs | fastq | CM_183_R1	97.01315984030755	56.0	300.0	300	36.36363636363637	135260.0
outputs | fastq | CM_183_R2	92.59648085169303	55.0	298.0	298	45.45454545454545	135260.0
outputs | fastq | CM_184_R1	97.29788198450635	56.0	298.0	298	36.36363636363637	97072.0
outputs | fastq | CM_186_R2	93.46227045933851	56.0	297.0	297	54.54545454545454	97205.0
outputs | fastq | CM_187_R2	93.52334242337905	56.0	297.0	297	45.45454545454545	98276.0
outputs | fastq | CM_188_R2	93.16754262274067	56.0	296.0	296	45.45454545454545	78010.0
outputs | fastq | CM_189_R1	97.56367453869653	56.0	299.0	299	36.36363636363637	105733.0
outputs | fastq | CM_189_R2	93.5043931412142	56.0	294.0	294	54.54545454545454	105733.0
outputs | fastq | CM_18_R1	96.84184581091797	53.0	299.0	299	36.36363636363637	93314.0
outputs | fastq | CM_18_R2	92.39020940051869	54.0	296.0	296	54.54545454545454	93314.0
outputs | fastq | CM_192_R1	97.82700812260902	56.0	293.0	293	36.36363636363637	167557.0
outputs | fastq | CM_192_R2	94.59825611582924	56.0	296.0	296	54.54545454545454	167557.0
outputs | fastq | CM_193_R2	93.25058363959965	56.0	294.0	294	54.54545454545454	129789.0
outputs | fastq | CM_196_R1	97.06584653001967	55.0	299.0	299	36.36363636363637	104698.0
outputs | fastq | CM_197_R1	97.10709674417522	55.0	299.0	299	36.36363636363637	85969.0
outputs | fastq | CM_197_R2	92.78577161534972	55.0	295.0	295	54.54545454545454	85969.0
outputs | fastq | CM_199_R2	94.9108533841094	56.0	298.0	298	54.54545454545454	144425.0
outputs | fastq | CM_201_R1	97.98978363019575	56.0	298.0	298	36.36363636363637	127051.0
outputs | fastq | CM_201_R2	94.11338753728818	56.0	294.0	294	45.45454545454545	127051.0
outputs | fastq | CM_202_R1	97.72100481026189	54.0	300.0	300	36.36363636363637	93550.0
outputs | fastq | CM_205_R1	96.99530516431925	57.0	294.0	294	36.36363636363637	85200.0
outputs | fastq | CM_205_R2	93.06572769953051	56.0	296.0	296	54.54545454545454	85200.0
outputs | fastq | CM_206_R1	97.63059990699116	56.0	297.0	297	36.36363636363637	129020.0
outputs | fastq | CM_206_R2	94.15361959386142	56.0	296.0	296	54.54545454545454	129020.0
outputs | fastq | CM_209_R1	96.96774130462417	55.0	294.0	294	36.36363636363637	102267.0
outputs | fastq | CM_20_R1	97.62418365327528	51.0	296.0	296	36.36363636363637	101060.0
outputs | fastq | CM_210_R1	96.20532574470617	54.0	293.0	293	36.36363636363637	92419.0
outputs | fastq | CM_210_R2	91.91616442506411	55.0	297.0	297	45.45454545454545	92419.0
outputs | fastq | CM_211_R2	91.88152447804175	55.0	300.0	300	54.54545454545454	88896.0
outputs | fastq | CM_213_R1	96.22208103220761	54.0	300.0	300	36.36363636363637	81844.0
outputs | fastq | CM_213_R2	91.93099066516788	54.0	298.0	298	45.45454545454545	81844.0
outputs | fastq | CM_218_R1	96.50567588272163	56.0	293.0	293	36.36363636363637	114872.0
outputs | fastq | CM_218_R2	92.45856257399541	56.0	296.0	296	54.54545454545454	114872.0
outputs | fastq | CM_219_R2	90.67566083997121	55.0	294.0	294	54.54545454545454	81979.0
outputs | fastq | CM_21_R1	98.27083854818522	59.0	298.0	298	45.45454545454545	99875.0
outputs | fastq | CM_21_R2	95.46332916145181	58.0	297.0	297	54.54545454545454	99875.0
outputs | fastq | CM_221_R1	97.03707228858326	56.0	296.0	296	36.36363636363637	105065.0
outputs | fastq | CM_222_R2	93.03373958872524	55.0	300.0	300	45.45454545454545	106255.0
outputs | fastq | CM_227_R1	96.98437291579023	56.0	298.0	298	36.36363636363637	97459.0
outputs | fastq | CM_228_R2	90.65096858101171	54.0	298.0	298	45.45454545454545	146090.0
outputs | fastq | CM_22_R1	97.2021417674567	54.0	293.0	293	36.36363636363637	100291.0
outputs | fastq | CM_230_R1	96.16919203913932	55.0	294.0	294	36.36363636363637	84212.0
outputs | fastq | CM_231_R1	97.43811941610116	53.0	293.0	293	36.36363636363637	81932.0
outputs | fastq | CM_231_R2	93.57760093736269	54.0	294.0	294	45.45454545454545	81932.0
outputs | fastq | CM_234_R2	92.53367063350673	54.0	295.0	295	54.54545454545454	168396.0
outputs | fastq | CM_238_R1	98.02371541501977	57.0	297.0	297	36.36363636363637	133331.0
outputs | fastq | CM_238_R2	94.44240274204799	56.0	297.0	297	54.54545454545454	133331.0
outputs | fastq | CM_239_R2	91.70573810691515	54.0	295.0	295	54.54545454545454	101950.0
outputs | fastq | CM_24_R1	96.98437702300289	52.0	300.0	300	45.45454545454545	92684.0
outputs | fastq | CM_25_R1	96.61263927186316	52.0	298.0	298	36.36363636363637	89214.0
outputs | fastq | CM_25_R2	91.00925863653687	52.0	299.0	299	45.45454545454545	89214.0
outputs | fastq | CM_26_R1	96.79822200614657	54.0	293.0	293	36.36363636363637	115186.0
outputs | fastq | CM_26_R2	93.08596530828399	54.0	298.0	298	54.54545454545454	115186.0
outputs | fastq | CM_27_R1	97.56896100718089	53.0	296.0	296	36.36363636363637	118509.0
outputs | fastq | CM_27_R2	93.89329080491777	53.0	296.0	296	54.54545454545454	118509.0
outputs | fastq | CM_2_R2	96.8470795308883	51.0	299.0	299	45.45454545454545	156807.0
outputs | fastq | CM_306_R2	93.20636000340107	54.0	295.0	295	54.54545454545454	129371.0
outputs | fastq | CM_307_R1	96.37818406710215	53.0	300.0	300	36.36363636363637	77613.0
outputs | fastq | CM_310_R1	98.00108049702864	51.0	298.0	298	36.36363636363637	85146.0
outputs | fastq | CM_310_R2	94.45305710191906	53.0	297.0	297	36.36363636363637	85146.0
outputs | fastq | CM_312_R2	92.66394453426872	56.0	294.0	294	54.54545454545454	109473.0
outputs | fastq | CM_313_R2	94.12931839402428	56.0	300.0	300	54.54545454545454	111384.0
outputs | fastq | CM_314_R1	97.67895426393521	56.0	297.0	297	36.36363636363637	134336.0
outputs | fastq | CM_315_R1	96.89957164044311	54.0	293.0	293	36.36363636363637	120693.0
outputs | fastq | CM_315_R2	93.22081645165834	54.0	300.0	300	54.54545454545454	120693.0
outputs | fastq | CM_34_R1	96.80067879513862	56.0	294.0	294	36.36363636363637	80142.0
outputs | fastq | CM_34_R2	91.45891043397968	56.0	293.0	293	54.54545454545454	80142.0
outputs | fastq | CM_38_R2	92.4872009886133	55.0	297.0	297	54.54545454545454	90632.0
outputs | fastq | CM_42_R1	96.50242630716818	55.0	299.0	299	36.36363636363637	130033.0
outputs | fastq | CM_45_R1	98.51112143262631	53.0	294.0	294	36.36363636363637	116262.0
